Anno;Italiani;2G - Diploma Magistrali;2G - Maturita' Liceale;2G - Maturita' Professionale;2G - Maturita' Tecnica;2G / Italiani *100
2003/2004;1086977;359;3431;685;2162;0,606886891
2004/2005;1332617;395;4143;947;2841;0,620906332
2005/2006;1492189;433;4801;1260;3511;0,666025826
2006/2007;1586818;466;5613;1634;4351;0,754527226
2007/2008;1654802;505;6347;1926;5153;0,834824984
2008/2009;1683485;529;7059;2192;5948;0,925604971
2009/2010;1715407;541;8063;2688;6972;1,05348708
2010/2011;1715567;599;8967;3036;7823;1,176560721
2011/2012;1688578;646;9780;3236;8538;1,297655219
2012/2013;1645291;702;10620;3504;9358;1,44859911
2013/2014;1619944;788;11422;3805;10226;1,594049271
2014/2015;1599705;834;12477;4161;11127;1,756367361
2015/2016;1592820;872;13364;4452;11992;1,889744379
2016/2017;1612066;853;14813;4728;12626;2,007189898
2017/2018;1638714;886;16102;5254;13398;2,128582128
